Employee_ID,Department,Age,Experience_Years,Salary,Performance_Score
E001,ML,25,0,71048,70
E002,Analytics,26,3,106482,60
E003,ML,35,1,38905,60
E004,MLOps,29,0,108563,67
E005,Analytics,39,13,63893,83
E006,Engineering,30,0,55926,99
E007,Data,32,8,,68
E008,Data,25,2,84797,61
E009,Analytics,33,8,40695,84
E010,Data,25,12,45328,90
E011,MLOps,33,6,44116,57
E012,AI,29,9,45458,
E013,Data,34,8,94429,95
E014,MLOps,27,11,81566,68
E015,ML,,2,114840,95
E016,Engineering,39,7,56417,84
E017,ML,30,7,77504,58
E018,AI,23,10,87581,72
E019,Engineering,28,10,62869,96
E020,ML,34,14,53726,71
E021,Analytics,29,8,111622,82
E022,Analytics,34,11,63746,63
E023,ML,37,2,,62
E024,Engineering,27,13,113172,59
E025,Analytics,34,14,104352,71
E026,MLOps,22,3,105381,72
E027,ML,32,3,73469,82
E028,ML,36,0,69522,87
E029,MLOps,38,3,116959,74
E030,ML,38,6,55032,78
E031,Engineering,39,0,113504,75
E032,ML,22,3,82576,74
E033,AI,23,7,109364,60
E034,ML,37,2,104822,63
E035,Analytics,37,5,69741,88
E036,ML,35,6,105686,99
E037,Analytics,31,12,83944,83
E038,AI,,3,67493,69
E039,ML,32,0,112110,90
E040,MLOps,40,7,35942,59
E041,Data,23,7,,57
E042,Engineering,24,7,71500,97
E043,Engineering,28,4,109847,91
E044,AI,29,15,88354,67
E045,Engineering,25,13,81438,82
E046,AI,36,1,119696,61
E047,ML,34,10,49322,70
E048,ML,28,14,53373,82
E049,Engineering,30,14,67742,59
E050,Analytics,39,3,41630,96
E051,Engineering,22,2,65982,65
E052,AI,37,15,63016,80
E053,Data,27,12,35282,79
E054,MLOps,36,9,90444,99
E055,Data,39,15,55289,67
E056,AI,28,1,110914,89
E057,Engineering,32,1,41572,
E058,AI,38,5,42455,87
E059,MLOps,27,2,112992,59
E060,ML,29,12,50713,91
E061,Engineering,40,1,116183,60
E062,MLOps,40,10,69179,68
E063,ML,32,7,69814,80
E064,AI,,14,76441,59
E065,ML,36,3,44602,89
E066,AI,38,8,52361,77
E067,Engineering,29,11,72353,65
E068,Analytics,39,9,115173,96
E069,Data,22,9,48577,63
E070,Data,25,3,107512,64
E071,MLOps,31,6,79942,68
E072,AI,30,15,67914,58
E073,Data,35,8,40778,55
E074,Analytics,26,8,56178,83
E075,MLOps,35,0,49663,59
E076,Analytics,26,1,,92
E077,Data,26,13,51704,57
E078,MLOps,33,1,81898,68
E079,Engineering,29,3,81357,90
E080,Engineering,26,7,56299,66
E081,MLOps,22,5,78540,81
E082,AI,29,8,55866,99
E083,ML,34,1,96694,69
E084,ML,36,11,75001,69
E085,Data,22,6,87227,76
E086,Analytics,24,8,81025,96
E087,Data,34,10,38617,62
E088,Analytics,27,8,40014,61
E089,Analytics,35,11,76114,82
E090,ML,38,3,85488,91
E091,Analytics,,1,92154,55
E092,AI,39,6,82739,82
E093,Analytics,32,10,51334,74
E094,MLOps,31,13,77753,80
E095,MLOps,31,4,60144,81
E096,Data,34,5,115676,91
E097,ML,34,0,74829,73
E098,Engineering,35,10,95946,83
E099,AI,28,15,57241,97
E100,MLOps,31,10,47240,70
E101,AI,31,7,61100,64
E102,AI,23,7,97277,94
E103,ML,36,13,117544,
E104,ML,34,15,87383,70
E105,ML,22,3,90724,69
E106,ML,38,14,41582,90
E107,MLOps,25,14,52477,84
E108,MLOps,38,10,93008,94
E109,ML,38,13,106810,83
E110,MLOps,37,14,68972,70
E111,Data,30,15,117149,70
E112,Data,36,2,72450,70
E113,ML,32,10,105798,60
E114,ML,26,7,85205,99
E115,Data,28,2,89377,81
E116,ML,39,14,89496,58
E117,AI,35,12,111556,99
E118,Data,40,12,97518,55
E119,MLOps,31,12,89921,89
E120,Data,39,7,98993,69
E007,Data,32,8,,68
E023,ML,37,2,,62
E041,Data,23,7,,57
E076,Analytics,26,1,,92
