Customer_ID,Age,Annual_Income,Credit_Score,Account_Tenure_Years,Monthly_Spend,Support_Calls,Late_Payments,Login_Frequency,Churn
C01502,31,25450,654,0.7,184.24,3,2,26.6,0
C02587,35,73781,719,0.2,87.99,1,0,18.9,0
C02654,35,39669,640,5.9,387.84,2,2,7.1,0
C01056,60,74832,695,8.1,221.46,1,0,18.8,0
C00706,43,41365,668,9.7,195.86,1,3,22.5,0
C00107,52,48496,689,6.6,288.61,0,2,10.9,0
C00590,54,62302,566,12.2,201.51,0,3,10.6,0
C02469,22,72952,710,6.0,167.21,2,1,15.4,0
C02414,45,51651,695,4.5,252.98,1,2,11.9,0
C01601,33,52521,740,4.2,84.63,1,0,17.9,0
C02465,39,43369,653,5.6,216.11,2,1,5.3,0
C00229,42,51406,682,3.6,53.26,1,3,12.0,0
C00916,39,21112,659,0.2,85.89,5,0,25.9,0
C00795,38,71705,597,4.0,213.55,0,2,23.2,0
C03022,26,77152,700,4.5,209.49,1,0,18.9,0
C03544,51,47563,611,10.3,135.16,4,1,25.1,0
C01074,42,64852,708,9.7,222.15,3,2,13.9,0
C03352,58,58080,615,2.1,233.14,1,0,16.8,0
C01745,29,70048,642,4.0,319.53,1,1,16.5,0
C01085,29,78418,725,6.0,143.64,1,0,30.5,0
C00927,42,32842,689,7.7,148.57,1,0,33.0,0
C03050,49,60286,645,6.6,230.43,3,2,19.3,0
C01118,44,52452,695,4.8,170.74,0,1,1.0,0
C00643,55,57311,712,0.2,219.76,1,1,21.9,0
C04768,21,48768,688,7.0,251.19,2,1,20.5,0
C00502,47,61337,683,6.0,120.3,5,2,24.1,0
C04067,55,61202,643,5.8,193.18,0,2,18.2,0
C00334,54,39837,704,8.3,171.83,3,0,17.8,0
C04685,41,55282,665,5.8,104.46,2,0,17.0,0
C00487,34,72673,743,4.9,105.82,1,1,9.0,0
C01963,26,54168,786,5.1,246.32,2,1,16.6,0
C00394,44,56131,664,4.3,197.12,1,0,13.1,0
C04843,24,45907,655,5.4,154.57,2,0,9.0,0
C04867,39,55283,765,5.9,73.35,1,0,14.9,0
C01756,33,25162,613,3.0,135.41,3,2,3.0,0
C02516,53,64399,661,4.8,332.91,2,1,18.1,0
C03586,29,79292,721,5.1,106.12,1,0,17.2,0
C04316,32,49183,624,1.2,161.43,1,0,24.2,0
C04967,30,47939,608,0.7,29.54,2,2,18.8,0
C02100,30,55318,749,0.8,250.36,5,0,14.3,0
C03600,45,54104,670,3.4,240.27,1,0,13.1,0
C04122,58,39835,688,4.2,247.15,4,0,21.9,0
C00030,38,55547,724,4.5,31.98,1,1,15.3,0
C00066,34,80602,595,6.6,261.9,2,1,20.8,0
C00839,21,43892,731,4.7,190.58,3,3,19.3,0
C03907,49,86056,613,8.3,206.27,5,3,23.4,0
C03774,26,44599,629,4.8,196.29,1,0,16.5,0
C04636,51,70587,634,8.3,349.55,4,2,25.0,0
C03162,56,56521,778,0.6,241.26,1,0,21.6,0
C02660,27,42752,547,0.2,345.55,1,0,24.1,0
C04616,38,44673,600,9.9,159.18,2,1,18.5,0
C04629,51,72718,735,2.4,257.49,0,0,13.6,0
C02452,56,73827,677,1.9,191.03,2,2,19.5,0
C02847,55,60084,750,4.7,55.94,2,1,13.3,0
C01145,34,54256,627,5.1,246.88,1,1,23.4,0
C03079,29,52594,712,5.0,201.24,2,1,15.8,0
