PassengerId,Name,Sex,Age,Pclass,SibSp,Parch,Fare,Embarked,Cabin,Ticket,Survived
1,Passenger_000001,female,34.8,3,2,0,16.26,S,,TKT-419164,0
2,Passenger_000002,male,36.3,3,0,2,14.51,S,G,TKT-423890,0
3,Passenger_000003,female,22.9,3,0,2,16.16,S,F,TKT-446449,1
4,Passenger_000004,female,41.3,2,1,0,28.24,S,,TKT-506237,0
5,Passenger_000005,male,32.4,3,0,0,11.01,S,,TKT-105100,0
6,Passenger_000006,female,28.8,3,0,0,10.89,Q,G,TKT-701583,1
7,Passenger_000007,female,31.3,3,0,0,19.3,S,E,TKT-662683,1
8,Passenger_000008,female,49.6,3,1,4,18.0,C,,TKT-646475,1
9,Passenger_000009,male,42.2,2,0,0,25.39,S,E,TKT-801228,1
10,Passenger_000010,male,33.9,3,0,1,15.53,S,G,TKT-152696,1
11,Passenger_000011,male,37.8,2,0,3,45.09,S,F,TKT-736517,1
12,Passenger_000012,female,27.9,3,0,0,11.6,S,E,TKT-334664,1
13,Passenger_000013,male,24.0,2,1,0,24.46,S,,TKT-339561,1
14,Passenger_000014,female,17.1,1,0,0,105.66,Q,D,TKT-373507,1
15,Passenger_000015,male,38.0,3,0,0,11.3,C,G,TKT-214688,0
16,Passenger_000016,male,43.2,1,0,0,66.65,S,B,TKT-456505,0
17,Passenger_000017,male,11.7,1,0,0,87.94,C,B,TKT-147642,1
18,Passenger_000018,male,36.7,3,0,0,12.98,S,F,TKT-722724,0
19,Passenger_000019,female,,3,0,0,15.35,C,E,TKT-801828,1
20,Passenger_000020,male,32.9,1,0,0,119.88,C,,TKT-489969,1
21,Passenger_000021,female,38.2,2,0,0,37.67,S,D,TKT-424478,1
22,Passenger_000022,male,20.2,2,0,0,22.55,S,E,TKT-738668,1
23,Passenger_000023,female,33.5,3,0,1,12.44,Q,,TKT-536571,0
24,Passenger_000024,female,42.8,3,0,0,20.76,S,E,TKT-635260,0
25,Passenger_000025,female,8.1,1,0,0,45.6,Q,B,TKT-105233,1
26,Passenger_000026,male,48.0,1,3,0,112.09,Q,C,TKT-375398,1
27,Passenger_000027,male,24.8,3,0,0,6.97,S,F,TKT-157405,0
28,Passenger_000028,male,40.3,3,0,1,25.7,S,,TKT-947282,0
29,Passenger_000029,male,28.5,3,1,0,22.58,S,,TKT-320964,0
30,Passenger_000030,female,28.7,1,0,0,82.47,S,,TKT-352818,1
31,Passenger_000031,female,24.5,2,0,0,28.09,C,E,TKT-929895,0
32,Passenger_000032,female,21.8,1,0,1,56.63,C,C,TKT-328607,1
33,Passenger_000033,male,40.5,3,0,0,10.6,S,G,TKT-148552,0
34,Passenger_000034,male,27.3,3,2,0,19.21,S,F,TKT-776648,0
35,Passenger_000035,male,,3,1,1,35.21,S,G,TKT-983508,0
36,Passenger_000036,male,16.0,3,1,0,18.18,S,F,TKT-542602,1
37,Passenger_000037,male,34.1,1,0,0,77.89,Q,,TKT-541754,0
38,Passenger_000038,male,27.5,2,1,0,27.44,Q,D,TKT-572596,0
39,Passenger_000039,male,45.8,3,1,1,17.02,S,E,TKT-931723,0
40,Passenger_000040,female,11.3,3,3,0,9.44,S,E,TKT-795728,1
41,Passenger_000041,male,25.0,3,2,2,36.62,Q,E,TKT-429279,1
42,Passenger_000042,female,31.9,2,0,0,44.61,S,E,TKT-915700,0
43,Passenger_000043,female,19.0,1,0,0,128.24,S,A,TKT-766299,0
44,Passenger_000044,male,15.1,1,1,0,144.22,Q,,TKT-835623,0
45,Passenger_000045,female,16.4,1,0,0,76.87,S,C,TKT-602966,1
46,Passenger_000046,female,23.0,3,0,0,35.94,C,,TKT-712580,0
47,Passenger_000047,male,,3,1,2,23.91,S,,TKT-790050,0
48,Passenger_000048,male,22.3,2,0,0,27.83,S,E,TKT-840645,0
49,Passenger_000049,female,66.7,3,0,0,14.59,C,,TKT-716772,0
50,Passenger_000050,male,34.1,3,0,0,10.23,Q,E,TKT-631351,0
51,Passenger_000051,male,,3,0,0,12.57,C,,TKT-503926,0
