Employee_ID,Department,Age,Experience_Years,Salary,Performance_Score
E00001,AI,35,3,56775,87
E00002,Data,38,15,64332,72
E00003,Software,32,0,41694,74
E00004,AI,29,4,47114,82
E00005,ML,22,9,90421,67
E00006,HR,33,14,85635,79
E00007,AI,39,11,68094,68
E00008,AI,24,14,89344,83
E00009,ML,26,7,62993,96
E00010,Data,32,13,83136,86
E00011,Data,32,5,56147,87
E00012,HR,30,2,36500,80
E00013,Analytics,24,14,72396,93
E00014,Software,31,10,73449,58
E00015,Data,31,1,35000,78
E00016,MLOps,25,6,55177,85
E00017,Analytics,33,3,50137,73
E00018,ML,38,7,49248,82
E00019,Software,23,10,70482,72
E00020,Analytics,23,2,41463,88
E00021,AI,32,14,72549,77
E00022,MLOps,36,15,89385,75
E00023,HR,23,10,50011,70
E00024,Software,39,4,35000,76
E00025,AI,31,3,44673,89
E00026,ML,24,13,60661,88
E00027,Data,30,6,68598,69
E00028,ML,30,0,35000,76
E00029,ML,29,6,36387,80
E00030,AI,33,12,69217,75
E00031,AI,26,10,86493,79
E00032,HR,40,12,60528,88
E00033,MLOps,27,10,57682,76
E00034,Data,38,4,53784,80
E00035,Data,37,9,78973,86
E00036,ML,29,9,50137,83
E00037,ML,25,15,71001,79
E00038,Data,40,4,35000,89
E00039,MLOps,32,5,49863,70
E00040,Analytics,28,3,47034,61
E00041,Data,24,6,64008,79
E00042,Software,28,9,67198,94
E00043,AI,34,6,54326,96
E00044,MLOps,31,11,71189,69
E00045,Software,23,0,42236,70
E00046,Software,36,11,53882,62
E00047,Data,28,14,80121,79
E00048,MLOps,25,13,54132,84
E00049,AI,35,7,69771,68
E00050,ML,36,11,89713,73
E00051,ML,37,12,64067,89
E00052,ML,22,6,56859,94
E00053,AI,29,6,62784,84
E00054,Analytics,26,15,98759,73
E00055,AI,33,13,72503,93
E00056,AI,40,15,71628,82
E00057,Data,24,13,79716,74
E00058,Analytics,34,7,71921,71
E00059,ML,30,6,54015,56
E00060,ML,30,15,96289,93
E00061,Analytics,39,7,68201,99
E00062,Data,35,15,88905,77
E00063,Analytics,23,9,61711,82
E00064,AI,30,11,65138,76
E00065,Analytics,36,11,88686,79
E00066,Analytics,24,12,60593,67
E00067,Analytics,31,2,47246,80
E00068,MLOps,31,1,43398,92
E00069,ML,23,4,51206,75
E00070,Data,40,4,35000,73
E00071,ML,29,7,56958,86
E00072,Data,27,1,35000,69
E00073,Software,23,8,70224,74
E00074,MLOps,23,2,44085,72
E00075,ML,25,11,85844,72
E00076,MLOps,36,12,88278,69
E00077,MLOps,27,15,75273,85
E00078,Analytics,30,3,61279,89
E00079,Analytics,34,1,35000,83
E00080,AI,28,6,69057,95
E00081,Analytics,29,11,53950,84
E00082,Data,31,6,70893,77
E00083,Software,39,3,35573,74
E00084,ML,39,1,35000,76
E00085,ML,27,2,38966,84
E00086,ML,26,13,66885,80
E00087,AI,29,13,90384,88
E00088,Data,25,13,53561,70
E00089,ML,32,8,65183,74
E00090,Data,32,0,42260,79
E00091,ML,30,10,52460,69
E00092,AI,30,9,56613,81
E00093,Data,38,10,53064,57
E00094,Data,24,9,58165,83
E00095,MLOps,36,3,54911,71
E00096,Analytics,33,10,60462,75
E00097,MLOps,37,15,83451,71
E00098,ML,32,4,45782,76
E00099,ML,36,4,71098,68
E00100,HR,33,2,42569,67
E00101,Software,35,10,54715,80
E00102,AI,29,1,40888,55
E00103,MLOps,38,9,70380,73
E00104,HR,27,11,61524,83
E00105,AI,35,4,62482,69
E00106,AI,28,7,36577,85
E00107,Data,37,3,38887,63
E00108,MLOps,37,9,62249,66
E00109,ML,25,2,52749,59
E00110,Software,33,8,75952,62
E00111,Data,32,9,78666,67
E00112,ML,29,10,66935,82
E00113,MLOps,27,14,90598,66
E00114,Analytics,33,11,75990,73
E00115,ML,37,4,48568,63
E00116,Software,28,3,38014,78
E00117,AI,28,6,55822,68
E00118,AI,38,11,83196,87
E00119,Data,36,6,54055,78
E00120,Analytics,35,4,42451,61
E00121,Analytics,33,11,81888,57
E00122,Analytics,23,0,35000,74
E00123,ML,24,13,80703,67
E00124,Data,23,13,78682,79
E00125,ML,27,1,48864,77
E00126,Data,22,12,80682,81
E00127,MLOps,30,8,66986,84
E00128,ML,22,12,67121,73
E00129,ML,40,12,64825,86
E00130,Analytics,31,6,56904,63
E00131,ML,22,13,76869,83
E00132,HR,25,12,100712,74
E00133,Analytics,25,11,72299,88
E00134,MLOps,34,4,48132,91
E00135,Analytics,36,3,37260,86
E00136,ML,31,4,35000,86
E00137,HR,35,5,35000,76
E00138,Data,23,5,37180,55
E00139,AI,27,12,67580,88
E00140,ML,22,11,79651,78
E00141,Data,29,5,55100,84
E00142,Data,22,3,35000,73
E00143,HR,37,11,60775,82
E00144,Analytics,32,1,36723,86
E00145,Data,36,9,57916,70
E00146,MLOps,33,4,36796,81
E00147,MLOps,22,9,35000,76
E00148,Data,28,7,43280,80
E00149,Data,22,1,35000,78
E00150,ML,23,5,63722,87
E00151,Software,39,8,75800,70
E00152,Software,39,11,45515,78
E00153,ML,24,14,86066,78
E00154,Analytics,29,1,52645,78
E00155,ML,27,11,58789,65
E00156,AI,30,10,45500,80
E00157,MLOps,33,0,54704,86
E00158,Analytics,29,5,47756,72
E00159,AI,37,2,56317,63
E00160,AI,23,2,42026,82
E00161,ML,33,5,67692,70
E00162,Software,35,3,49561,63
E00163,MLOps,32,9,57689,76
E00164,ML,34,3,38224,64
E00165,Analytics,33,2,35000,63
E00166,Data,25,13,71588,84
E00167,Software,36,8,58200,76
E00168,Software,27,4,51423,64
E00169,MLOps,25,13,69279,72
E00170,HR,32,13,95116,99
E00171,MLOps,34,0,54406,74
E00172,Data,29,4,50460,74
E00173,MLOps,23,8,81253,66
E00174,HR,40,0,52569,75
E00175,ML,37,10,61523,65
E00176,ML,31,0,40800,61
E00177,Data,28,15,79422,79
E00178,HR,38,5,67462,63
E00179,Software,28,8,48761,78
E00180,AI,25,13,57132,93
E00181,Software,26,8,58911,82
E00182,Software,32,9,51910,62
E00183,Data,36,15,70238,70
E00184,MLOps,28,10,62979,66
E00185,AI,25,6,47831,75
E00186,Analytics,39,6,49641,80
E00187,Data,23,10,62624,63
E00188,ML,32,4,50463,76
E00189,AI,25,0,35000,85
E00190,MLOps,34,10,58429,77
E00191,HR,29,10,75650,71
E00192,MLOps,23,9,76311,86
E00193,ML,25,4,68626,87
E00194,Software,31,0,35603,76
E00195,ML,24,3,57691,73
E00196,ML,33,8,55449,78
E00197,Analytics,37,0,40709,89
E00198,Software,27,10,66354,69
E00199,ML,39,2,62035,79
E00200,MLOps,35,5,42662,89
E00201,AI,23,15,70272,87
E00202,HR,30,5,50660,56
E00203,Data,32,6,35000,77
E00204,ML,32,12,71927,84
E00205,ML,30,1,35000,82
E00206,MLOps,28,5,39559,89
E00207,ML,32,7,55972,66
E00208,AI,34,4,35000,72
E00209,ML,38,15,83096,81
E00210,Data,23,12,44839,79
E00211,AI,24,0,35000,92
E00212,Analytics,31,15,88854,67
E00213,ML,30,3,58025,85
E00214,Software,39,2,59369,79
E00215,AI,32,11,57443,74
E00216,AI,26,6,48129,78
E00217,ML,38,0,35000,78
E00218,ML,38,0,45274,58
E00219,HR,22,11,70493,77
E00220,Data,38,7,55872,81
E00221,MLOps,28,7,55248,85
E00222,Data,26,4,53821,77
E00223,Analytics,24,3,35000,80
E00224,HR,23,13,83513,81
E00225,MLOps,23,6,56958,79
E00226,HR,36,14,89554,78
E00227,ML,39,9,57694,79
E00228,Analytics,40,1,38619,83
E00229,Analytics,31,6,66155,69
E00230,ML,26,13,60177,72
E00231,ML,38,1,52594,73
E00232,Data,39,3,40898,73
E00233,HR,29,8,68397,69
E00234,Analytics,25,4,56763,77
E00235,HR,37,9,59870,79
E00236,Software,28,14,77403,90
E00237,Data,32,11,51774,70
E00238,AI,38,5,35000,73
E00239,ML,25,13,75284,96
E00240,ML,27,0,49106,67
E00241,Software,26,12,68861,82
E00242,Software,36,0,35000,64
E00243,MLOps,24,2,35322,78
E00244,Analytics,24,5,44039,75
E00245,Analytics,28,2,36755,81
E00246,Software,29,14,64738,75
E00247,Analytics,36,10,56301,83
E00248,Data,39,1,35000,79
E00249,Data,33,11,92690,95
E00250,Data,26,3,64083,68
E00251,Analytics,34,11,56493,66
E00252,Software,35,15,80592,76
E00253,Data,23,1,35000,80
E00254,MLOps,39,6,51112,83
E00255,MLOps,31,10,69778,72
E00256,AI,36,13,76291,93
E00257,Software,22,10,76790,76
E00258,ML,40,6,46875,62
E00259,ML,40,0,35156,77
E00260,Analytics,39,8,35000,76
E00261,ML,32,7,57921,74
E00262,Software,24,15,54958,79
E00263,MLOps,30,8,43820,79
E00264,ML,33,15,95258,70
E00265,HR,30,9,77404,68
E00266,ML,30,2,35000,67
E00267,MLOps,28,1,58593,94
E00268,ML,34,10,73697,74
E00269,ML,32,3,49764,86
E00270,ML,36,6,39069,87
E00271,ML,23,11,89842,73
E00272,ML,26,2,49760,80
E00273,ML,38,1,35000,81
E00274,Analytics,37,0,35000,68
E00275,AI,34,5,36033,69
E00276,Data,29,8,60889,82
E00277,MLOps,30,6,50436,76
E00278,Data,34,1,55957,55
E00279,Software,36,9,49178,71
E00280,Software,30,15,83686,70
E00281,ML,39,3,56568,72
E00282,ML,28,3,35000,62
E00283,MLOps,28,0,42336,76
E00284,MLOps,35,7,55812,78
E00285,Analytics,37,2,35000,74
E00286,Data,32,11,41653,73
E00287,ML,40,9,67458,70
E00288,Data,38,8,50907,79
E00289,Data,25,1,35000,62
E00290,ML,36,6,69814,93
E00291,Software,37,8,58624,86
E00292,ML,38,10,67918,55
E00293,HR,31,15,103415,91
E00294,ML,36,3,46031,78
E00295,Software,35,14,67439,80
E00296,Software,39,7,71212,73
E00297,HR,27,7,56843,82
E00298,Software,24,15,73831,73
E00299,AI,36,4,36233,69
E00300,Analytics,34,12,67564,73
E00301,AI,40,8,70387,72
E00302,ML,23,5,43296,75
E00303,Analytics,22,4,49012,78
E00304,Data,31,14,66917,56
E00305,Software,33,12,88090,81
E00306,Data,38,13,57469,76
E00307,Data,34,12,59231,83
E00308,Analytics,35,4,39083,77
E00309,MLOps,29,14,60667,59
E00310,ML,33,14,83315,79
E00311,Data,24,12,79177,72
E00312,Data,35,7,63749,59
E00313,MLOps,24,8,67259,70
E00314,MLOps,25,14,59149,67
E00315,MLOps,25,5,53089,81
E00316,MLOps,39,8,75532,88
E00317,Data,25,14,72920,80
E00318,AI,26,1,50931,81
E00319,MLOps,40,9,60095,67
E00320,HR,25,2,39508,81
E00321,Software,32,13,59501,72
E00322,Data,24,7,50276,60
E00323,MLOps,30,8,74402,75
E00324,Analytics,39,0,35000,77
E00325,Software,28,0,57747,85
E00326,Analytics,30,12,69034,74
E00327,Software,38,15,96190,67
E00328,Analytics,32,4,47124,79
E00329,Analytics,40,9,35000,76
E00330,MLOps,29,0,35000,70
E00331,AI,26,1,35000,77
E00332,ML,22,10,56723,86
E00333,AI,29,3,35000,74
E00334,Software,23,9,50155,99
E00335,ML,32,11,75318,66
E00336,Analytics,22,2,72524,77
E00337,ML,23,10,67451,81
E00338,AI,32,2,36807,60
E00339,ML,33,6,35000,77
E00340,HR,25,11,91755,64
E00341,ML,36,7,68787,70
E00342,HR,29,2,35518,68
E00343,Software,25,11,71724,69
E00344,Analytics,30,0,35000,99
E00345,AI,39,15,65883,75
E00346,Software,32,15,75236,83
E00347,HR,38,13,84299,68
E00348,MLOps,38,4,51381,79
E00349,Analytics,26,0,35000,63
E00350,ML,22,14,84820,96
E00351,Analytics,34,11,64132,82
E00352,ML,31,6,67922,80
E00353,Analytics,28,3,35000,72
E00354,Analytics,24,15,75681,79
E00355,Data,24,6,62528,92
E00356,Data,39,6,61630,74
E00357,AI,24,12,62911,79
E00358,Software,39,11,57505,66
E00359,Data,27,6,59152,87
E00360,Analytics,24,15,97199,79
E00361,HR,31,7,66821,80
E00362,ML,24,4,35000,67
E00363,ML,27,3,35923,65
E00364,ML,24,0,35000,72
E00365,Analytics,22,1,54998,81
E00366,Data,23,7,55264,80
E00367,AI,40,15,76319,79
E00368,AI,25,12,74289,65
E00369,MLOps,26,2,46676,65
E00370,Software,24,9,57281,77
E00371,AI,23,6,56384,55
E00372,MLOps,25,13,75209,69
E00373,MLOps,23,4,66693,79
E00374,MLOps,24,4,47423,90
E00375,ML,30,11,72842,77
E00376,ML,29,1,35000,83
E00377,HR,25,4,39591,83
E00378,Data,26,3,49530,69
E00379,Data,30,6,42059,92
E00380,AI,29,3,48001,81
E00381,Analytics,24,13,71121,79
E00382,HR,38,5,57367,88
E00383,AI,29,5,35000,85
E00384,Data,28,4,64327,82
E00385,Data,32,6,35000,62
E00386,HR,27,3,65508,79
E00387,AI,33,11,68920,78
E00388,HR,39,1,44169,75
E00389,ML,38,1,37467,82
E00390,Software,28,8,59970,70
E00391,Analytics,23,7,44564,85
E00392,ML,24,11,75479,76
E00393,Analytics,26,1,43340,82
E00394,AI,33,14,82099,64
E00395,ML,31,9,79962,78
E00396,Data,27,4,35000,58
E00397,Software,25,12,71984,89
E00398,MLOps,31,10,47143,79
E00399,Data,40,14,91019,74
E00400,Data,36,8,67785,81
E00401,MLOps,26,11,65170,76
E00402,Software,32,14,87666,67
E00403,AI,31,13,80001,75
E00404,ML,37,11,50180,72
E00405,HR,28,6,60883,68
E00406,Software,28,2,35000,70
E00407,MLOps,30,0,36897,72
E00408,Software,25,4,58287,84
E00409,ML,38,7,56586,86
E00410,HR,29,9,61218,81
E00411,Analytics,38,3,61059,88
E00412,Analytics,29,12,73124,91
E00413,ML,34,13,70907,99
E00414,Software,35,1,35000,66
E00415,ML,37,13,74297,84
E00416,MLOps,35,10,73390,84
E00417,ML,35,1,55936,78
E00418,AI,27,2,35000,70
E00419,ML,23,11,73388,84
E00420,Software,39,15,88270,94
E00421,Analytics,38,11,62925,91
E00422,ML,27,15,99916,91
E00423,ML,22,5,39938,77
E00424,ML,40,13,95985,56
E00425,Analytics,23,13,75668,78
E00426,Software,22,13,83247,72
E00427,MLOps,40,0,35000,96
E00428,Software,34,15,61590,79
E00429,ML,33,8,57763,74
E00430,Software,33,4,54768,77
E00431,HR,36,12,64501,82
E00432,AI,33,8,55635,76
E00433,AI,36,6,53995,76
E00434,Software,36,2,35000,85
E00435,ML,26,12,67591,62
E00436,ML,33,7,58521,82
E00437,ML,28,9,55644,73
E00438,Data,33,1,52887,86
E00439,AI,25,4,49717,75
E00440,Analytics,38,11,42410,71
E00441,Software,27,4,40862,78
E00442,ML,25,1,35000,70
E00443,AI,24,4,36721,89
E00444,ML,32,13,92443,80
E00445,MLOps,28,15,87492,68
E00446,AI,35,13,69430,71
E00447,HR,29,5,44357,75
E00448,Analytics,27,15,76184,76
E00449,ML,27,13,66987,79
E00450,Analytics,26,0,35000,62
E00451,ML,35,5,56067,93
E00452,Software,24,13,49233,73
E00453,AI,39,2,47227,68
E00454,ML,26,4,35000,66
E00455,ML,22,15,86137,68
E00456,ML,34,3,56792,83
E00457,HR,35,11,55501,73
E00458,Data,33,12,62230,64
E00459,AI,28,4,58700,71
E00460,Analytics,25,1,35000,78
E00461,Analytics,38,1,35000,82
E00462,ML,31,14,68311,65
E00463,HR,31,3,72998,55
E00464,MLOps,26,14,71044,67
E00465,Analytics,36,8,65079,94
E00466,AI,39,8,66809,55
E00467,Analytics,34,10,83772,66
E00468,HR,35,6,76183,78
E00469,ML,35,15,57427,99
E00470,Data,25,14,94417,73
E00471,Data,30,10,66685,79
E00472,Data,27,11,55672,88
E00473,ML,29,11,79745,68
E00474,ML,38,0,35000,90
E00475,MLOps,37,4,62534,67
E00476,MLOps,32,6,48427,82
E00477,Data,24,2,53922,99
E00478,Analytics,28,6,61904,70
E00479,Analytics,35,10,50506,76
E00480,Data,33,13,57086,73
E00481,Data,32,11,70023,76
E00482,ML,29,14,71168,73
E00483,Analytics,40,10,72949,83
E00484,MLOps,39,8,56196,77
E00485,ML,34,9,51581,79
E00486,Data,38,1,42157,74
E00487,Data,25,12,46111,76
E00488,MLOps,25,9,46063,77
E00489,Analytics,35,11,55559,77
E00490,Analytics,34,7,35000,73
E00491,AI,26,12,75356,83
E00492,Analytics,37,6,42745,74
E00493,Analytics,36,13,76825,82
E00494,MLOps,26,15,88955,81
E00495,AI,33,2,56210,90
E00496,Analytics,38,15,89576,67
E00497,Data,36,12,51774,77
E00498,Analytics,29,6,42168,80
E00499,MLOps,37,8,38143,83
E00500,Data,27,14,65990,73
E00501,AI,40,8,76588,87
E00502,Software,40,3,47577,58
E00503,HR,27,9,73938,78
E00504,Data,35,3,35000,90
E00505,Data,40,6,50526,76
E00506,Software,27,10,72168,73
E00507,MLOps,35,9,49907,86
E00508,Software,32,8,56314,75
E00509,Data,30,2,52344,62
E00510,ML,34,11,80013,83
E00511,ML,31,3,50343,68
E00512,Software,35,1,37528,81
E00513,ML,40,4,48317,84
E00514,MLOps,25,7,42599,88
E00515,MLOps,25,1,60547,80
E00516,ML,33,10,49556,83
E00517,MLOps,40,11,83547,75
E00518,AI,38,8,35893,87
E00519,ML,29,7,52723,86
E00520,Software,37,4,51525,85
E00521,Software,39,7,47238,84
E00522,Data,27,8,40953,69
E00523,ML,23,9,52096,88
E00524,Analytics,40,9,58990,83
E00525,ML,25,4,48991,55
E00526,MLOps,22,8,57531,89
E00527,HR,28,6,54487,75
E00528,HR,36,9,65987,79
E00529,AI,36,10,73036,74
E00530,MLOps,28,7,50449,83
E00531,AI,35,5,54069,79
E00532,AI,39,5,35880,74
E00533,Data,22,13,54673,61
E00534,Analytics,38,1,35000,91
E00535,ML,33,13,111261,75
E00536,ML,38,0,35000,65
E00537,Data,22,10,75082,99
E00538,ML,26,8,73236,87
E00539,ML,29,11,64261,72
E00540,Software,37,13,91829,65
E00541,HR,34,13,79940,76
E00542,Analytics,28,12,84099,90
E00543,Software,26,9,64362,65
E00544,HR,30,8,62032,74
E00545,ML,25,11,85104,89
E00546,Data,39,10,59151,59
E00547,Data,37,8,62988,67
E00548,ML,35,15,81155,75
E00549,AI,31,4,48676,72
E00550,Data,34,15,88418,81
E00551,Data,26,11,72072,57
E00552,ML,24,15,79304,82
E00553,ML,26,3,64380,73
E00554,Software,32,0,39849,79
E00555,ML,40,6,45557,66
E00556,MLOps,24,10,65332,62
E00557,MLOps,27,15,80282,71
E00558,Data,23,11,61589,76
E00559,Analytics,30,3,38839,72
E00560,Data,39,1,36822,64
E00561,ML,22,8,65213,67
E00562,MLOps,33,5,36594,70
E00563,Software,24,5,56996,94
E00564,Analytics,22,2,38685,84
E00565,Analytics,32,8,46113,77
E00566,AI,30,6,59364,75
E00567,AI,39,2,44880,86
E00568,ML,27,7,63033,76
E00569,MLOps,34,1,51451,75
E00570,Analytics,24,2,63156,65
E00571,MLOps,32,9,63163,87
E00572,Software,37,7,52927,71
E00573,Data,29,1,36749,68
E00574,AI,24,3,39965,75
E00575,Software,31,0,35000,90
E00576,Data,25,14,77424,79
E00577,Software,34,6,35000,67
E00578,Analytics,26,2,51276,73
E00579,Software,34,5,54502,83
E00580,MLOps,35,8,77436,83
E00581,Data,40,0,35000,72
E00582,Analytics,25,5,67483,60
E00583,ML,39,7,67620,77
E00584,Data,28,6,41849,80
E00585,Software,24,15,67127,80
E00586,Analytics,39,6,57273,89
E00587,ML,32,2,48239,91
E00588,MLOps,32,15,89708,91
E00589,ML,27,15,72708,70
E00590,ML,25,10,94039,79
E00591,HR,23,13,60792,71
E00592,Data,38,0,49270,73
E00593,MLOps,22,9,41408,81
E00594,Analytics,31,13,64860,68
E00595,ML,27,0,45875,77
E00596,MLOps,37,8,80235,65
E00597,AI,35,2,54707,76
E00598,Analytics,23,1,36311,70
E00599,HR,24,10,51424,72
E00600,Analytics,25,7,71539,76
E00601,Data,35,6,51144,79
E00602,AI,23,2,58661,67
E00603,Software,26,5,64027,79
E00604,AI,31,8,65626,75
E00605,HR,25,6,43560,70
E00606,AI,29,5,41286,79
E00607,Software,27,15,87539,85
E00608,ML,29,1,40238,93
E00609,AI,22,6,76034,64
E00610,Data,28,10,72801,87
E00611,Analytics,32,9,68794,72
E00612,Analytics,30,3,63114,78
E00613,HR,39,9,54879,66
E00614,HR,29,12,77813,81
E00615,MLOps,27,8,49317,69
E00616,AI,25,14,88349,77
E00617,AI,33,10,84587,70
E00618,MLOps,32,3,46913,70
E00619,ML,22,10,45382,70
E00620,ML,38,4,59787,92
E00621,AI,40,4,65786,67
E00622,Data,40,0,35000,83
E00623,HR,36,12,63641,74
E00624,Data,24,7,68421,70
E00625,HR,39,13,63585,80
E00626,Data,29,13,61291,86
E00627,Software,38,4,36873,67
E00628,ML,26,1,35000,96
E00629,Analytics,35,11,77645,93
E00630,Software,32,2,43586,75
E00631,HR,30,10,77144,81
E00632,Software,28,11,75568,80
E00633,ML,23,11,84904,77
E00634,Data,38,10,78290,83
E00635,ML,35,3,35000,69
E00636,ML,39,3,40543,87
E00637,AI,31,10,81041,73
E00638,AI,28,2,46569,81
E00639,AI,33,7,50393,75
E00640,Software,28,1,35000,69
E00641,AI,39,4,58118,65
E00642,Software,32,0,35000,72
E00643,ML,34,4,61288,74
E00644,MLOps,34,6,51156,86
E00645,Analytics,29,1,56466,70
E00646,Software,36,1,52595,84
E00647,ML,31,12,64702,64
E00648,Data,23,4,56791,70
E00649,AI,29,7,39987,85
E00650,ML,22,13,75108,82
E00651,Data,35,0,35133,76
E00652,Software,34,0,35000,61
E00653,AI,39,5,35000,83
E00654,MLOps,31,12,85539,72
E00655,Software,40,15,79675,82
E00656,MLOps,34,6,54958,73
E00657,Software,29,4,43549,73
E00658,MLOps,27,6,68206,72
E00659,Analytics,40,8,41039,93
E00660,Data,25,15,90161,72
E00661,MLOps,22,3,67753,65
E00662,Software,24,9,52375,81
E00663,ML,35,14,65405,60
E00664,ML,36,0,39661,67
E00665,MLOps,31,10,72825,89
E00666,AI,29,12,55626,75
E00667,Software,25,5,45725,72
E00668,HR,23,8,77234,95
E00669,MLOps,36,13,96981,77
E00670,Data,26,12,69055,70
E00671,ML,40,10,66594,82
E00672,Analytics,38,2,44846,72
E00673,HR,36,3,35000,75
E00674,AI,31,4,37974,74
E00675,Analytics,28,11,67407,61
E00676,Data,38,14,105141,83
E00677,Software,22,8,64099,96
E00678,Data,39,6,70518,57
E00679,ML,37,15,77732,89
E00680,MLOps,23,8,64400,74
E00681,ML,26,10,53477,70
E00682,ML,39,10,47236,79
E00683,ML,34,13,60399,83
E00684,Data,29,8,53626,78
E00685,Analytics,37,5,48754,68
E00686,MLOps,35,12,63214,74
E00687,Data,39,0,35000,76
E00688,HR,29,3,51760,79
E00689,AI,33,1,35000,85
E00690,Analytics,33,14,76406,63
E00691,MLOps,22,14,67090,79
E00692,Software,34,0,45926,74
E00693,MLOps,35,3,35000,76
E00694,MLOps,24,7,65633,84
E00695,Software,37,15,73247,71
E00696,Data,30,15,74584,70
E00697,AI,30,9,60970,65
E00698,Analytics,25,10,62607,77
E00699,Analytics,38,5,65185,67
E00700,MLOps,24,7,62211,68
E00701,MLOps,40,14,91408,79
E00702,MLOps,33,15,84372,73
E00703,ML,26,8,55754,72
E00704,Software,34,1,35000,79
E00705,MLOps,35,5,35000,69
E00706,Analytics,26,6,74151,80
E00707,Software,38,4,43776,85
E00708,AI,22,14,53989,71
E00709,Data,24,8,44992,85
E00710,Data,40,10,44460,67
E00711,HR,36,12,60645,95
E00712,AI,31,5,54978,80
E00713,Software,28,13,47534,72
E00714,Software,34,15,94127,87
E00715,AI,35,5,40740,68
E00716,ML,23,12,66697,62
E00717,Analytics,30,9,59397,67
E00718,ML,33,15,65103,65
E00719,Analytics,33,11,74882,64
E00720,HR,36,9,43380,83
E00721,Data,39,13,90773,83
E00722,Data,22,0,35000,69
E00723,ML,32,14,74832,90
E00724,HR,31,15,70055,66
E00725,ML,25,12,82402,87
E00726,ML,24,13,58648,69
E00727,MLOps,39,5,65130,78
E00728,ML,24,8,83076,72
E00729,Data,30,2,35000,74
E00730,Data,33,2,35000,77
E00731,MLOps,31,7,51034,71
E00732,ML,33,14,77072,76
E00733,ML,22,9,57634,69
E00734,Data,32,10,59979,65
E00735,ML,37,15,86616,61
E00736,AI,31,0,37642,76
E00737,ML,40,0,35000,91
E00738,MLOps,30,7,45665,69
E00739,Data,27,2,55368,81
E00740,Data,31,15,80376,87
E00741,ML,27,4,44996,72
E00742,ML,28,9,45292,70
E00743,Software,30,0,42491,78
E00744,ML,26,11,66498,84
E00745,Data,22,15,78486,84
E00746,Data,27,10,75444,67
E00747,MLOps,22,7,42072,94
E00748,Data,39,8,71798,75
E00749,AI,38,7,58350,75
E00750,Software,27,11,80613,78
E00751,MLOps,39,2,36314,85
E00752,MLOps,29,3,58122,98
E00753,MLOps,29,9,35000,77
E00754,Data,31,5,35000,67
E00755,AI,39,13,61642,80
E00756,MLOps,36,14,66635,83
E00757,MLOps,34,15,91926,73
E00758,HR,36,4,35000,64
E00759,ML,38,4,56451,88
E00760,Data,35,6,51509,87
E00761,AI,30,12,56198,79
E00762,ML,27,1,57774,87
E00763,ML,30,11,50500,75
E00764,ML,25,14,86524,66
E00765,Software,33,14,91529,87
E00766,ML,37,4,35000,75
E00767,ML,22,6,39210,96
E00768,ML,38,9,76944,61
E00769,ML,34,4,47831,80
E00770,Analytics,39,6,59767,66
E00771,MLOps,35,5,49664,84
E00772,Analytics,38,5,58143,86
E00773,Analytics,36,5,35000,69
E00774,Software,28,2,48752,91
E00775,ML,32,7,52843,60
E00776,Software,24,15,76316,82
E00777,Analytics,37,4,35000,80
E00778,ML,34,4,35000,81
E00779,AI,33,3,41147,85
E00780,Software,34,6,66588,79
E00781,MLOps,35,1,39257,79
E00782,Software,26,3,35000,66
E00783,Data,33,4,43752,69
E00784,Analytics,33,10,60531,74
E00785,HR,35,5,38969,86
E00786,MLOps,40,1,41875,80
E00787,Software,28,8,46252,78
E00788,MLOps,25,10,55663,55
E00789,Software,40,10,50749,64
E00790,Analytics,29,8,48790,79
E00791,ML,27,3,61312,71
E00792,Data,29,10,55434,74
E00793,MLOps,36,13,67157,85
E00794,ML,26,0,43518,76
E00795,ML,22,11,79410,63
E00796,MLOps,36,10,57872,72
E00797,ML,31,4,61016,78
E00798,ML,35,0,35000,82
E00799,AI,27,8,66128,70
E00800,AI,26,14,75089,86
E00801,AI,30,12,75176,57
E00802,MLOps,38,12,77239,76
E00803,Software,35,6,51193,61
E00804,Analytics,30,1,43289,67
