Employee_ID,Department,Age,Experience_Years,Salary,Performance_Score
E001,ML,25.0,0,71048.0,70.0
E002,Analytics,26.0,3,106482.0,60.0
E003,ML,35.0,1,38905.0,60.0
E004,MLOps,29.0,0,108563.0,67.0
E005,Analytics,39.0,13,63893.0,83.0
E006,Engineering,30.0,0,55926.0,99.0
E007,Data,32.0,8,76972.5,68.0
E008,Data,25.0,2,84797.0,61.0
E009,Analytics,33.0,8,40695.0,84.0
E010,Data,25.0,12,45328.0,90.0
E011,MLOps,33.0,6,44116.0,57.0
E012,AI,29.0,9,45458.0,74.0
E013,Data,34.0,8,94429.0,95.0
E014,MLOps,27.0,11,81566.0,68.0
E015,ML,32.0,2,114840.0,95.0
E016,Engineering,39.0,7,56417.0,84.0
E017,ML,30.0,7,77504.0,58.0
E018,AI,23.0,10,87581.0,72.0
E019,Engineering,28.0,10,62869.0,96.0
E020,ML,34.0,14,53726.0,71.0
E021,Analytics,29.0,8,111622.0,82.0
E022,Analytics,34.0,11,63746.0,63.0
E023,ML,37.0,2,76972.5,62.0
E024,Engineering,27.0,13,113172.0,59.0
E025,Analytics,34.0,14,104352.0,71.0
E026,MLOps,22.0,3,105381.0,72.0
E027,ML,32.0,3,73469.0,82.0
E028,ML,36.0,0,69522.0,87.0
E029,MLOps,38.0,3,116959.0,74.0
E030,ML,38.0,6,55032.0,78.0
E031,Engineering,39.0,0,113504.0,75.0
E032,ML,22.0,3,82576.0,74.0
E033,AI,23.0,7,109364.0,60.0
E034,ML,37.0,2,104822.0,63.0
E035,Analytics,37.0,5,69741.0,88.0
E036,ML,35.0,6,105686.0,99.0
E037,Analytics,31.0,12,83944.0,83.0
E038,AI,32.0,3,67493.0,69.0
E039,ML,32.0,0,112110.0,90.0
E040,MLOps,40.0,7,35942.0,59.0
E041,Data,23.0,7,76972.5,57.0
E042,Engineering,24.0,7,71500.0,97.0
E043,Engineering,28.0,4,109847.0,91.0
E044,AI,29.0,15,88354.0,67.0
E045,Engineering,25.0,13,81438.0,82.0
E046,AI,36.0,1,119696.0,61.0
E047,ML,34.0,10,49322.0,70.0
E048,ML,28.0,14,53373.0,82.0
E049,Engineering,30.0,14,67742.0,59.0
E050,Analytics,39.0,3,41630.0,96.0
E051,Engineering,22.0,2,65982.0,65.0
E052,AI,37.0,15,63016.0,80.0
E053,Data,27.0,12,35282.0,79.0
E054,MLOps,36.0,9,90444.0,99.0
E055,Data,39.0,15,55289.0,67.0
E056,AI,28.0,1,110914.0,89.0
E057,Engineering,32.0,1,41572.0,74.0
E058,AI,38.0,5,42455.0,87.0
E059,MLOps,27.0,2,112992.0,59.0
E060,ML,29.0,12,50713.0,91.0
E061,Engineering,40.0,1,116183.0,60.0
E062,MLOps,40.0,10,69179.0,68.0
E063,ML,32.0,7,69814.0,80.0
E064,AI,32.0,14,76441.0,59.0
E065,ML,36.0,3,44602.0,89.0
E066,AI,38.0,8,52361.0,77.0
E067,Engineering,29.0,11,72353.0,65.0
E068,Analytics,39.0,9,115173.0,96.0
E069,Data,22.0,9,48577.0,63.0
E070,Data,25.0,3,107512.0,64.0
E071,MLOps,31.0,6,79942.0,68.0
E072,AI,30.0,15,67914.0,58.0
E073,Data,35.0,8,40778.0,55.0
E074,Analytics,26.0,8,56178.0,83.0
E075,MLOps,35.0,0,49663.0,59.0
E076,Analytics,26.0,1,76972.5,92.0
E077,Data,26.0,13,51704.0,57.0
E078,MLOps,33.0,1,81898.0,68.0
E079,Engineering,29.0,3,81357.0,90.0
E080,Engineering,26.0,7,56299.0,66.0
E081,MLOps,22.0,5,78540.0,81.0
E082,AI,29.0,8,55866.0,99.0
E083,ML,34.0,1,96694.0,69.0
E084,ML,36.0,11,75001.0,69.0
E085,Data,22.0,6,87227.0,76.0
E086,Analytics,24.0,8,81025.0,96.0
E087,Data,34.0,10,38617.0,62.0
E088,Analytics,27.0,8,40014.0,61.0
E089,Analytics,35.0,11,76114.0,82.0
E090,ML,38.0,3,85488.0,91.0
E091,Analytics,32.0,1,92154.0,55.0
E092,AI,39.0,6,82739.0,82.0
E093,Analytics,32.0,10,51334.0,74.0
E094,MLOps,31.0,13,77753.0,80.0
E095,MLOps,31.0,4,60144.0,81.0
E096,Data,34.0,5,115676.0,91.0
E097,ML,34.0,0,74829.0,73.0
E098,Engineering,35.0,10,95946.0,83.0
E099,AI,28.0,15,57241.0,97.0
E100,MLOps,31.0,10,47240.0,70.0
E101,AI,31.0,7,61100.0,64.0
E102,AI,23.0,7,97277.0,94.0
E103,ML,36.0,13,117544.0,74.0
E104,ML,34.0,15,87383.0,70.0
E105,ML,22.0,3,90724.0,69.0
